baseline_path,schema_pointer,disposition,destination,meaning,owner
sourceData,#/$defs/SourceData,reorganized,source_edition + document_event,Metadata scoped to an exact edition and event; absent artifact SHA-256 prevents declaring an exact edition.,C2b archival
sourceData.primarySource,#/$defs/SourceReference,reorganized,source_edition + source_edition.fields.primaryDisplay,Selected display source; does not assert that the source is historically primary.,C2b archival
sourceData.primarySource.sourceId,#/$defs/SourceReference/properties/sourceId,reorganized,observation.sources[].id + source_edition.artifact.sourceRef,Explicit inventory identity with declared SHA-256; title and URL never identify interchangeable editions.,C2b archival
sourceData.primarySource.type,#/$defs/SourceReference/properties/type,reorganized,source_edition.fields.type,Sourced declaration on a specifically identified edition; separate alternatives remain separate assertions.,C2b archival
sourceData.primarySource.title,#/$defs/SourceReference/properties/title,reorganized,source_edition.fields.title,Sourced declaration on a specifically identified edition; separate alternatives remain separate assertions.,C2b archival
sourceData.primarySource.author,#/$defs/SourceReference/properties/author,reorganized,source_edition.fields.author,Sourced declaration on a specifically identified edition; separate alternatives remain separate assertions.,C2b archival
sourceData.primarySource.organization,#/$defs/SourceReference/properties/organization,reorganized,source_edition.fields.organization,Sourced declaration on a specifically identified edition; separate alternatives remain separate assertions.,C2b archival
sourceData.primarySource.date,#/$defs/SourceReference/properties/date,revised,source_edition.fields.issuedAt,Calendar precision retained in EventTimeValue; source wording of publication versus creation is retained and not guessed.,C2b archival
sourceData.primarySource.url,#/$defs/SourceReference/properties/url,revised,source_edition.fields.originalUrl,"Declared public URL, never fetched. Invalid URL text remains an unmapped sourced value; private addresses must be withheld by the application.",C2b archival
sourceData.primarySource.archiveUrl,#/$defs/SourceReference/properties/archiveUrl,revised,source_edition.fields.archiveUrl,"Declared public URL, never fetched. Invalid URL text remains an unmapped sourced value; private addresses must be withheld by the application.",C2b archival
sourceData.primarySource.reference,#/$defs/SourceReference/properties/reference,reorganized,source_edition.fields.reference,"Original citation text preserved; structured edition citations additionally bind page, time range or JSON pointer to exact artifact.",C2b archival
