baseline_path,schema_pointer,disposition,destination,meaning,owner
physicalEvidence,#/$defs/Observation/properties/physicalEvidence,reorganized,material / material_trace / material_preparation,"Sourced declarations retain explicit missingness and alternatives; no collection, physical identity or scientific truth is inferred.",C2c material foundation
physicalEvidence[].id,#/$defs/PhysicalEvidenceItem/properties/id,reorganized,material.id / material_trace.id,"Sourced declarations retain explicit missingness and alternatives; no collection, physical identity or scientific truth is inferred.",C2c material foundation
physicalEvidence[].type,#/$defs/PhysicalEvidenceItem/properties/type,revised,material.fields.type / material_trace.fields.type,Separate specimens from uncollected traces; radiation/EM and media belong to observation measurements and source/product inventory. Retain unresolved wording as unmapped; never label media as a specimen.,C2c material foundation
physicalEvidence[].quality,#/$defs/PhysicalEvidenceItem/properties/quality,reorganized,material.fields.reportedQuality; attributable quality review remains C2c laboratory and review,"Original source wording is retained now; this foundation does not create laboratory runs, quantitative results or reviewer assessments from that wording.",C2c laboratory and review
physicalEvidence[].description,#/$defs/PhysicalEvidenceItem/properties/description,reorganized,material.fields.description / material_trace.fields.description,"Sourced declarations retain explicit missingness and alternatives; no collection, physical identity or scientific truth is inferred.",C2c material foundation
physicalEvidence[].collectionDate,#/$defs/PhysicalEvidenceItem/properties/collectionDate,revised,material.fields.collectionTime,Retain calendar precision or unknown time. Invalid date wording remains unmapped; no timezone is invented.,C2c material foundation
physicalEvidence[].collectionMethod,#/$defs/PhysicalEvidenceItem/properties/collectionMethod,reorganized,material.fields.collectionMethod,"Sourced declarations retain explicit missingness and alternatives; no collection, physical identity or scientific truth is inferred.",C2c material foundation
physicalEvidence[].collectorName,#/$defs/PhysicalEvidenceItem/properties/collectorName,reorganized,material.fields.collectorName,"Sourced declarations retain explicit missingness and alternatives; no collection, physical identity or scientific truth is inferred.",C2c material foundation
physicalEvidence[].collectorOrganization,#/$defs/PhysicalEvidenceItem/properties/collectorOrganization,reorganized,material.fields.collectorOrganization,"Sourced declarations retain explicit missingness and alternatives; no collection, physical identity or scientific truth is inferred.",C2c material foundation
physicalEvidence[].storageLocation,#/$defs/PhysicalEvidenceItem/properties/storageLocation,reorganized,material.fields.storageLocation,"Sourced declarations retain explicit missingness and alternatives; no collection, physical identity or scientific truth is inferred.",C2c material foundation
physicalEvidence[].chainOfCustody,#/$defs/PhysicalEvidenceItem/properties/chainOfCustody,reorganized,material.fields.reportedCustodyStatus,"Sourced declarations retain explicit missingness and alternatives; no collection, physical identity or scientific truth is inferred.",C2c material foundation
physicalEvidence[].analysisPerformed,#/$defs/PhysicalEvidenceItem/properties/analysisPerformed,reorganized,material.fields.reportedAnalyses; typed analytical records remain C2c laboratory and review,"Original source wording is retained now; this foundation does not create laboratory runs, quantitative results or reviewer assessments from that wording.",C2c laboratory and review
physicalEvidence[].analysisResults,#/$defs/PhysicalEvidenceItem/properties/analysisResults,reorganized,material.fields.reportedAnalysisSummary; typed results and review remain C2c laboratory and review,"Original source wording is retained now; this foundation does not create laboratory runs, quantitative results or reviewer assessments from that wording.",C2c laboratory and review
physicalEvidence[].photographed,#/$defs/PhysicalEvidenceItem/properties/photographed,reorganized,material.fields.photographed / material_trace.fields.photographed,"Sourced declarations retain explicit missingness and alternatives; no collection, physical identity or scientific truth is inferred.",C2c material foundation
physicalEvidence[].labReport,#/$defs/PhysicalEvidenceItem/properties/labReport,reorganized,material.fields.labReportAvailable,"Sourced declarations retain explicit missingness and alternatives; no collection, physical identity or scientific truth is inferred.",C2c material foundation
physicalEvidence[].notes,#/$defs/PhysicalEvidenceItem/properties/notes,reorganized,material.fields.notes / material_trace.fields.notes,"Sourced declarations retain explicit missingness and alternatives; no collection, physical identity or scientific truth is inferred.",C2c material foundation
provenance,#/$defs/Provenance,reorganized,material + material_custody_action,Physical-item interpretation of the shared provenance field; digital custody remains C2b. Explicit predecessor gaps and selected-transfer identity are retained; no automatic complete chain.,C2c material foundation
provenance.custodyStatus,#/$defs/Provenance/properties/custodyStatus,reorganized,material.fields.reportedCustodyStatus,Physical-item interpretation of the shared provenance field; digital custody remains C2b. Explicit predecessor gaps and selected-transfer identity are retained; no automatic complete chain.,C2c material foundation
provenance.custody,#/$defs/ChainOfCustodyRecord,reorganized,material.selectionRef + material_custody_action.transferRef,Physical-item interpretation of the shared provenance field; digital custody remains C2b. Explicit predecessor gaps and selected-transfer identity are retained; no automatic complete chain.,C2c material foundation
provenance.custody.evidenceId,#/$defs/ChainOfCustodyRecord/properties/evidenceId,reorganized,material.id,Physical-item interpretation of the shared provenance field; digital custody remains C2b. Explicit predecessor gaps and selected-transfer identity are retained; no automatic complete chain.,C2c material foundation
provenance.custody.status,#/$defs/ChainOfCustodyRecord/properties/status,reorganized,material.fields.reportedCustodyStatus,Physical-item interpretation of the shared provenance field; digital custody remains C2b. Explicit predecessor gaps and selected-transfer identity are retained; no automatic complete chain.,C2c material foundation
provenance.custody.entries,#/$defs/ChainOfCustodyRecord/properties/entries,reorganized,material_custody_action,Physical-item interpretation of the shared provenance field; digital custody remains C2b. Explicit predecessor gaps and selected-transfer identity are retained; no automatic complete chain.,C2c material foundation
provenance.custody.entries[].entryId,#/$defs/CustodyEntry/properties/entryId,reorganized,material_custody_action.id,Physical-item interpretation of the shared provenance field; digital custody remains C2b. Explicit predecessor gaps and selected-transfer identity are retained; no automatic complete chain.,C2c material foundation
provenance.custody.entries[].date,#/$defs/CustodyEntry/properties/date,reorganized,material_custody_action.fields.occurredAt,Physical-item interpretation of the shared provenance field; digital custody remains C2b. Explicit predecessor gaps and selected-transfer identity are retained; no automatic complete chain.,C2c material foundation
provenance.custody.entries[].action,#/$defs/CustodyEntry/properties/action,reorganized,material_custody_action.fields.action,Physical-item interpretation of the shared provenance field; digital custody remains C2b. Explicit predecessor gaps and selected-transfer identity are retained; no automatic complete chain.,C2c material foundation
provenance.custody.entries[].from,#/$defs/CustodyEntry/properties/from,reorganized,material_custody_action.fields.from,Physical-item interpretation of the shared provenance field; digital custody remains C2b. Explicit predecessor gaps and selected-transfer identity are retained; no automatic complete chain.,C2c material foundation
provenance.custody.entries[].to,#/$defs/CustodyEntry/properties/to,reorganized,material_custody_action.fields.to,Physical-item interpretation of the shared provenance field; digital custody remains C2b. Explicit predecessor gaps and selected-transfer identity are retained; no automatic complete chain.,C2c material foundation
provenance.custody.entries[].location,#/$defs/CustodyEntry/properties/location,reorganized,material_custody_action.fields.location,Physical-item interpretation of the shared provenance field; digital custody remains C2b. Explicit predecessor gaps and selected-transfer identity are retained; no automatic complete chain.,C2c material foundation
provenance.custody.entries[].reference,#/$defs/CustodyEntry/properties/reference,reorganized,material_custody_action.fields.reference,Physical-item interpretation of the shared provenance field; digital custody remains C2b. Explicit predecessor gaps and selected-transfer identity are retained; no automatic complete chain.,C2c material foundation
provenance.custody.entries[].notes,#/$defs/CustodyEntry/properties/notes,reorganized,material_custody_action.fields.notes,Physical-item interpretation of the shared provenance field; digital custody remains C2b. Explicit predecessor gaps and selected-transfer identity are retained; no automatic complete chain.,C2c material foundation
