baseline_path,schema_pointer,disposition,destination,meaning,owner
witnesses,#/$defs/Witnesses,reorganized,research_entities.entities[kind=witness_group],Aggregate declarations are independent of roster length.,C2a witnesses/accounts
witnesses.count,#/$defs/Witnesses/properties/count,reorganized,witness_group.fields.reportedCount,Nonnegative reported count; never calculated from accounts.,C2a witnesses/accounts
witnesses.categories,#/$defs/Witnesses/properties/categories,reorganized,witness_group.fields.categories,Preserved witness category vocabulary.,C2a witnesses/accounts
witnesses.militaryWitnesses,#/$defs/Witnesses/properties/militaryWitnesses,reorganized,witness_group.fields.militaryWitnesses,"Sourced aggregate declaration, not a computed roster property.",C2a witnesses/accounts
witnesses.aviationWitnesses,#/$defs/Witnesses/properties/aviationWitnesses,reorganized,witness_group.fields.aviationWitnesses,"Sourced aggregate declaration, not a computed roster property.",C2a witnesses/accounts
witnesses.multipleIndependent,#/$defs/Witnesses/properties/multipleIndependent,reorganized,claim_history.claims[].witnessReview.multipleIndependent,Attributable assessment with typed subject and explicit inputs; unknown is distinct.,C2a witnesses/accounts
witnesses.professionalObservers,#/$defs/Witnesses/properties/professionalObservers,reorganized,witness_group.fields.professionalObservers,"Sourced aggregate declaration, not a computed roster property.",C2a witnesses/accounts
witnesses.descriptions,#/$defs/Witnesses/properties/descriptions,reorganized,witness_group.fields.descriptions,Sourced descriptions retained.,C2a witnesses/accounts
testimony,#/$defs/Observation/properties/testimony,reorganized,research_entities.entities[kind=account],Distinct account entity; shared scoped witnesses.,C2a witnesses/accounts
testimony[].statementId,#/$defs/TestimonyStatement/properties/statementId,reorganized,account.id,"Stable account ID, independent of list order.",C2a witnesses/accounts
testimony[].witness,#/$defs/Witness,reorganized,account.fields.speakerWitnessIds + witness,Speaker is distinct from recorder and extractor.,C2a witnesses/accounts
testimony[].witness.witnessId,#/$defs/Witness/properties/witnessId,reorganized,witness.id,Identity scoped by document snapshot and kind.,C2a witnesses/accounts
testimony[].witness.category,#/$defs/Witness/properties/category,reorganized,witness.fields.category,Sourced declaration; qualifications carry their relevant time. Anonymity is not consent.,C2a witnesses/accounts
testimony[].witness.anonymous,#/$defs/Witness/properties/anonymous,reorganized,witness.fields.anonymous,Sourced declaration; qualifications carry their relevant time. Anonymity is not consent.,C2a witnesses/accounts
testimony[].witness.publicName,#/$defs/Witness/properties/publicName,reorganized,witness.fields.publicIdentity[kind=public_name],Sourced public display identity only.,C2a witnesses/accounts
testimony[].witness.pseudonym,#/$defs/Witness/properties/pseudonym,reorganized,witness.fields.publicIdentity[kind=pseudonym],Public pseudonym; no private legal-name association.,C2a witnesses/accounts
testimony[].witness.role,#/$defs/Witness/properties/role,reorganized,witness.fields.role,Sourced declaration; qualifications carry their relevant time. Anonymity is not consent.,C2a witnesses/accounts
testimony[].witness.organization,#/$defs/Witness/properties/organization,reorganized,witness.fields.organization,Sourced declaration; qualifications carry their relevant time. Anonymity is not consent.,C2a witnesses/accounts
testimony[].witness.experienceYears,#/$defs/Witness/properties/experienceYears,reorganized,witness.fields.experienceYears,Sourced declaration; qualifications carry their relevant time. Anonymity is not consent.,C2a witnesses/accounts
testimony[].witness.securityClearance,#/$defs/Witness/properties/securityClearance,reorganized,witness.fields.securityClearance,Sourced declaration; qualifications carry their relevant time. Anonymity is not consent.,C2a witnesses/accounts
testimony[].witness.credibility,#/$defs/WitnessCredibility,reorganized,claim_history.claims[].witnessReview + witness/account/procedure fields,"Qualifications, procedure declarations and review judgments have separate owners.",C2a witnesses/accounts
testimony[].witness.credibility.rating,#/$defs/WitnessCredibility/properties/rating,reorganized,claim_history.claims[].witnessReview.rating,"Reviewer-attributed vocabulary with inputs, rationale and method; no automatic score.",C2a witnesses/accounts
testimony[].witness.credibility.factors,#/$defs/WitnessCredibility/properties/factors,reorganized,claim_history.claims[].witnessReview.factors,"Reviewer-attributed vocabulary with inputs, rationale and method; no automatic score.",C2a witnesses/accounts
testimony[].witness.credibility.detractors,#/$defs/WitnessCredibility/properties/detractors,reorganized,claim_history.claims[].witnessReview.detractors,"Reviewer-attributed vocabulary with inputs, rationale and method; no automatic score.",C2a witnesses/accounts
testimony[].witness.credibility.isProfessionalObserver,#/$defs/WitnessCredibility/properties/isProfessionalObserver,reorganized,witness.fields.isProfessionalObserver,"Sourced witness context, not a credibility weight; no inferred consent.",C2a witnesses/accounts
testimony[].witness.credibility.hasAviationExperience,#/$defs/WitnessCredibility/properties/hasAviationExperience,reorganized,witness.fields.hasAviationExperience,"Sourced witness context, not a credibility weight; no inferred consent.",C2a witnesses/accounts
testimony[].witness.credibility.hasMilitaryExperience,#/$defs/WitnessCredibility/properties/hasMilitaryExperience,reorganized,witness.fields.hasMilitaryExperience,"Sourced witness context, not a credibility weight; no inferred consent.",C2a witnesses/accounts
testimony[].witness.credibility.hasScientificBackground,#/$defs/WitnessCredibility/properties/hasScientificBackground,reorganized,witness.fields.hasScientificBackground,"Sourced witness context, not a credibility weight; no inferred consent.",C2a witnesses/accounts
testimony[].witness.credibility.hasPriorUAPKnowledge,#/$defs/WitnessCredibility/properties/hasPriorUAPKnowledge,reorganized,witness.fields.hasPriorUAPKnowledge,"Sourced witness context, not a credibility weight; no inferred consent.",C2a witnesses/accounts
testimony[].witness.credibility.wasSkepticPrior,#/$defs/WitnessCredibility/properties/wasSkepticPrior,reorganized,witness.fields.wasSkepticPrior,"Sourced witness context, not a credibility weight; no inferred consent.",C2a witnesses/accounts
testimony[].witness.credibility.underOathTestimony,#/$defs/WitnessCredibility/properties/underOathTestimony,reorganized,account.fields.underOath,Oath is account-scoped; not inferred from context label.,C2a witnesses/accounts
testimony[].witness.credibility.polygraphAdministered,#/$defs/WitnessCredibility/properties/polygraphAdministered,reorganized,procedure.fields.administered,Sourced procedure with witness/account/date/context; never validates an account.,C2a witnesses/accounts
testimony[].witness.credibility.polygraphPassed,#/$defs/WitnessCredibility/properties/polygraphPassed,reorganized,procedure.fields.passed,Sourced procedure with witness/account/date/context; never validates an account.,C2a witnesses/accounts
testimony[].witness.credibility.consistentTestimony,#/$defs/WitnessCredibility/properties/consistentTestimony,reorganized,claim_history.claims[].witnessReview.consistentTestimony,Explicit consistent/inconsistent/unknown interpretation.,C2a witnesses/accounts
testimony[].witness.credibility.willingToBeIdentified,#/$defs/WitnessCredibility/properties/willingToBeIdentified,reorganized,witness.fields.willingToBeIdentified,"Sourced witness context, not a credibility weight; no inferred consent.",C2a witnesses/accounts
testimony[].witness.credibility.notes,#/$defs/WitnessCredibility/properties/notes,reorganized,claim_history.claims[].witnessReview.notes,"Reviewer-attributed vocabulary with inputs, rationale and method; no automatic score.",C2a witnesses/accounts
testimony[].witness.statementSummary,#/$defs/Witness/properties/statementSummary,reorganized,account.fields.summary,"Summary identifies its summarizer, separate from speaker.",C2a witnesses/accounts
testimony[].witness.interviewAvailable,#/$defs/Witness/properties/interviewAvailable,reorganized,account.fields.interviewAvailable,Existence is sourced; does not imply available bytes or access.,C2a witnesses/accounts
testimony[].witness.writtenReportAvailable,#/$defs/Witness/properties/writtenReportAvailable,reorganized,account.fields.writtenReportAvailable,Existence is sourced; does not imply available bytes or access.,C2a witnesses/accounts
testimony[].context,#/$defs/TestimonyStatement/properties/context,reorganized,account.fields.context,Existing testimony context vocabulary retained.,C2a witnesses/accounts
testimony[].date,#/$defs/TestimonyDate,reorganized,account.fields.recordedTime + dateCertainty,Statement recording time is separate from event time.,C2a witnesses/accounts
