baseline_path,schema_pointer,destination,disposition,meaning
id,#/$defs/Observation/properties/id,Observation.id,existing,Published Observation contract unchanged; context has its own identity/version. Extensions do not establish typed domain coverage.
temporal,#/$defs/TemporalData,temporal.fields,reorganized,Container row; child rows specify ownership.
temporal.date,#/$defs/TemporalData/properties/date,Observation.eventTime + temporal.fields.eventTime,revised,Intentionally remove required representative-date fabrication. Calendar precision is explicit; no first-of-period instant is inferred.
temporal.dateCertainty,#/$defs/TemporalData/properties/dateCertainty,temporal.fields.dateCertainty,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
temporal.dateGranularity,#/$defs/TemporalData/properties/dateGranularity,temporal.fields.eventTime/calendarPeriod value kind,revised,Intentionally remove required representative-date fabrication. Calendar precision is explicit; no first-of-period instant is inferred.
temporal.time,#/$defs/TemporalData/properties/time,temporal.fields.localTime.clock,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
temporal.timezone,#/$defs/TemporalData/properties/timezone,temporal.fields.localTime.timezone,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
temporal.utcTime,#/$defs/TemporalData/properties/utcTime,temporal.fields.eventTime,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
temporal.timeCertainty,#/$defs/TemporalData/properties/timeCertainty,temporal.fields.timeCertainty,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
temporal.durationSeconds,#/$defs/TemporalData/properties/durationSeconds,temporal.measurements[duration],reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
temporal.durationDescription,#/$defs/TemporalData/properties/durationDescription,temporal.fields.durationDescription,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
temporal.timeOfDay,#/$defs/TemporalData/properties/timeOfDay,temporal.fields.timeOfDay,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
temporal.isDaylightSaving,#/$defs/TemporalData/properties/isDaylightSaving,temporal.fields.localTime.daylightSaving,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
temporal.moonPhase,#/$defs/TemporalData/properties/moonPhase,environment.fields.moonPhase,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
temporal.moonIllumination,#/$defs/TemporalData/properties/moonIllumination,environment.measurements[moon_illumination],reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
temporal.dateRange,#/$defs/DateRange,temporal.fields.calendarRange,reorganized,Endpoint precision/certainty and range purpose survive; same-precision ordering checked. Mixed-precision normalization not performed.
temporal.dateRange.start,#/$defs/FuzzyDate,temporal.fields.calendarRange.start,reorganized,Endpoint precision/certainty and range purpose survive; same-precision ordering checked. Mixed-precision normalization not performed.
temporal.dateRange.start.value,#/$defs/FuzzyDate/properties/value,temporal.fields.calendarRange.start.value,reorganized,Endpoint precision/certainty and range purpose survive; same-precision ordering checked. Mixed-precision normalization not performed.
temporal.dateRange.start.granularity,#/$defs/FuzzyDate/properties/granularity,temporal.fields.calendarRange.start.value.kind,reorganized,Endpoint precision/certainty and range purpose survive; same-precision ordering checked. Mixed-precision normalization not performed.
temporal.dateRange.start.certainty,#/$defs/FuzzyDate/properties/certainty,temporal.fields.calendarRange.start.certainty,reorganized,Endpoint precision/certainty and range purpose survive; same-precision ordering checked. Mixed-precision normalization not performed.
temporal.dateRange.start.quarter,#/$defs/FuzzyDate/properties/quarter,temporal.fields.calendarRange.start.value.quarter,reorganized,Endpoint precision/certainty and range purpose survive; same-precision ordering checked. Mixed-precision normalization not performed.
temporal.dateRange.start.display,#/$defs/FuzzyDate/properties/display,temporal.fields.calendarRange.start.display,reorganized,Endpoint precision/certainty and range purpose survive; same-precision ordering checked. Mixed-precision normalization not performed.
temporal.dateRange.start.notes,#/$defs/FuzzyDate/properties/notes,temporal.fields.calendarRange.start.notes,reorganized,Endpoint precision/certainty and range purpose survive; same-precision ordering checked. Mixed-precision normalization not performed.
temporal.dateRange.end,#/$defs/FuzzyDate,temporal.fields.calendarRange.end,reorganized,Endpoint precision/certainty and range purpose survive; same-precision ordering checked. Mixed-precision normalization not performed.
temporal.dateRange.end.value,#/$defs/FuzzyDate/properties/value,temporal.fields.calendarRange.end.value,reorganized,Endpoint precision/certainty and range purpose survive; same-precision ordering checked. Mixed-precision normalization not performed.
temporal.dateRange.end.granularity,#/$defs/FuzzyDate/properties/granularity,temporal.fields.calendarRange.end.value.kind,reorganized,Endpoint precision/certainty and range purpose survive; same-precision ordering checked. Mixed-precision normalization not performed.
temporal.dateRange.end.certainty,#/$defs/FuzzyDate/properties/certainty,temporal.fields.calendarRange.end.certainty,reorganized,Endpoint precision/certainty and range purpose survive; same-precision ordering checked. Mixed-precision normalization not performed.
temporal.dateRange.end.quarter,#/$defs/FuzzyDate/properties/quarter,temporal.fields.calendarRange.end.value.quarter,reorganized,Endpoint precision/certainty and range purpose survive; same-precision ordering checked. Mixed-precision normalization not performed.
temporal.dateRange.end.display,#/$defs/FuzzyDate/properties/display,temporal.fields.calendarRange.end.display,reorganized,Endpoint precision/certainty and range purpose survive; same-precision ordering checked. Mixed-precision normalization not performed.
temporal.dateRange.end.notes,#/$defs/FuzzyDate/properties/notes,temporal.fields.calendarRange.end.notes,reorganized,Endpoint precision/certainty and range purpose survive; same-precision ordering checked. Mixed-precision normalization not performed.
temporal.dateRange.type,#/$defs/DateRange/properties/type,temporal.fields.calendarRange.type,reorganized,Endpoint precision/certainty and range purpose survive; same-precision ordering checked. Mixed-precision normalization not performed.
temporal.dateRange.display,#/$defs/DateRange/properties/display,temporal.fields.calendarRange.display,reorganized,Endpoint precision/certainty and range purpose survive; same-precision ordering checked. Mixed-precision normalization not performed.
temporal.dateRange.inclusive,#/$defs/DateRange/properties/inclusive,temporal.fields.calendarRange.inclusiveEnd,reorganized,Endpoint precision/certainty and range purpose survive; same-precision ordering checked. Mixed-precision normalization not performed.
temporal.relativeDate,#/$defs/RelativeDate,temporal.fields.relativeDate,reorganized,"Explicit local anchor entity, sourced wording and optional offset; no fetched or invented anchor time."
temporal.relativeDate.referenceEvent,#/$defs/RelativeDate/properties/referenceEvent,temporal.fields.relativeDate.anchorTemporalId + anchor.fields.display,reorganized,"Explicit local anchor entity, sourced wording and optional offset; no fetched or invented anchor time."
temporal.relativeDate.referenceDate,#/$defs/FuzzyDate,referenced temporal entity.fields.eventTime/calendarPeriod/calendarRange,reorganized,"Explicit local anchor entity, sourced wording and optional offset; no fetched or invented anchor time."
temporal.relativeDate.referenceDate.value,#/$defs/FuzzyDate/properties/value,referenced temporal entity.fields.eventTime/calendarPeriod/calendarRange.value,reorganized,"Explicit local anchor entity, sourced wording and optional offset; no fetched or invented anchor time."
temporal.relativeDate.referenceDate.granularity,#/$defs/FuzzyDate/properties/granularity,referenced temporal entity.fields.eventTime/calendarPeriod/calendarRange.granularity,reorganized,"Explicit local anchor entity, sourced wording and optional offset; no fetched or invented anchor time."
temporal.relativeDate.referenceDate.certainty,#/$defs/FuzzyDate/properties/certainty,referenced temporal entity.fields.eventTime/calendarPeriod/calendarRange.certainty,reorganized,"Explicit local anchor entity, sourced wording and optional offset; no fetched or invented anchor time."
temporal.relativeDate.referenceDate.quarter,#/$defs/FuzzyDate/properties/quarter,referenced temporal entity.fields.eventTime/calendarPeriod/calendarRange.quarter,reorganized,"Explicit local anchor entity, sourced wording and optional offset; no fetched or invented anchor time."
temporal.relativeDate.referenceDate.display,#/$defs/FuzzyDate/properties/display,referenced temporal entity.fields.eventTime/calendarPeriod/calendarRange.display,reorganized,"Explicit local anchor entity, sourced wording and optional offset; no fetched or invented anchor time."
temporal.relativeDate.referenceDate.notes,#/$defs/FuzzyDate/properties/notes,referenced temporal entity.fields.eventTime/calendarPeriod/calendarRange.notes,reorganized,"Explicit local anchor entity, sourced wording and optional offset; no fetched or invented anchor time."
temporal.relativeDate.relation,#/$defs/RelativeDate/properties/relation,temporal.fields.relativeDate.relation,reorganized,"Explicit local anchor entity, sourced wording and optional offset; no fetched or invented anchor time."
temporal.relativeDate.offset,#/$defs/RelativeDate/properties/offset,temporal.fields.relativeDate.offset,reorganized,"Explicit local anchor entity, sourced wording and optional offset; no fetched or invented anchor time."
temporal.relativeDate.offset.value,#/$defs/RelativeDate/properties/offset/properties/value,temporal.fields.relativeDate.offset.value,reorganized,"Explicit local anchor entity, sourced wording and optional offset; no fetched or invented anchor time."
temporal.relativeDate.offset.unit,#/$defs/RelativeDate/properties/offset/properties/unit,temporal.fields.relativeDate.offset.unit,reorganized,"Explicit local anchor entity, sourced wording and optional offset; no fetched or invented anchor time."
temporal.relativeDate.offset.approximate,#/$defs/RelativeDate/properties/offset/properties/approximate,temporal.fields.relativeDate.offset.approximate,reorganized,"Explicit local anchor entity, sourced wording and optional offset; no fetched or invented anchor time."
temporal.relativeDate.display,#/$defs/RelativeDate/properties/display,temporal.fields.relativeDate.wording,reorganized,"Explicit local anchor entity, sourced wording and optional offset; no fetched or invented anchor time."
location,#/$defs/LocationData,place.fields,reorganized,Container row; child rows specify ownership.
location.id,#/$defs/LocationData/properties/id,place.id,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
location.name,#/$defs/LocationData/properties/name,place.fields.name,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
location.country,#/$defs/LocationData/properties/country,place.fields.country,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
location.countryCode,#/$defs/LocationData/properties/countryCode,place.fields.countryCode,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
location.region,#/$defs/LocationData/properties/region,place.fields.region,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
location.city,#/$defs/LocationData/properties/city,place.fields.city,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
location.address,#/$defs/LocationData/properties/address,place.fields.address,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
location.longitude,#/$defs/LocationData/properties/longitude,place.fields.position.longitude,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
location.latitude,#/$defs/LocationData/properties/latitude,place.fields.position.latitude,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
location.coordinatePrecision,#/$defs/LocationData/properties/coordinatePrecision,place.fields.coordinatePrecision,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
location.coordinatePrecisionMeters,#/$defs/LocationData/properties/coordinatePrecisionMeters,place.measurements[coordinate_precision],reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
location.coordinatesApproximate,#/$defs/LocationData/properties/coordinatesApproximate,place.fields.coordinatesApproximate,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
location.elevationMeters,#/$defs/LocationData/properties/elevationMeters,place.measurements[altitude],reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
location.elevationSource,#/$defs/LocationData/properties/elevationSource,place.fields.elevationSource,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
location.siteType,#/$defs/LocationData/properties/siteType,place.fields.siteType,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
location.secondarySiteTypes,#/$defs/LocationData/properties/secondarySiteTypes,place.fields.secondarySiteTypes,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
location.terrain,#/$defs/LocationData/properties/terrain,place.fields.terrain,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
location.airspaceClass,#/$defs/LocationData/properties/airspaceClass,place.fields.airspaceClass,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
location.locationSensitivity,#/$defs/LocationData/properties/locationSensitivity,place.fields.infrastructureSensitivity,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
location.proximitySites,#/$defs/LocationData/properties/proximitySites,place.fields.proximity,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
location.proximitySites[].siteType,#/$defs/ProximitySite/properties/siteType,referenced place.fields.siteType,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
location.proximitySites[].siteName,#/$defs/ProximitySite/properties/siteName,referenced place.fields.name,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
location.proximitySites[].distanceKm,#/$defs/ProximitySite/properties/distanceKm,place.fields.proximity.distanceMeasurementId,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
location.proximitySites[].bearing,#/$defs/ProximitySite/properties/bearing,place.fields.proximity.bearingMeasurementId,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
location.nearestMilitaryKm,#/$defs/LocationData/properties/nearestMilitaryKm,place.fields.proximity[nearest_military].distanceMeasurementId,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
location.nearestNuclearKm,#/$defs/LocationData/properties/nearestNuclearKm,place.fields.proximity[nearest_nuclear].distanceMeasurementId,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
location.nearestAirportKm,#/$defs/LocationData/properties/nearestAirportKm,place.fields.proximity[nearest_airport].distanceMeasurementId,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
location.waterDepthMeters,#/$defs/LocationData/properties/waterDepthMeters,place.measurements[water_depth],reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
location.vesselName,#/$defs/LocationData/properties/vesselName,platform.fields.name,reorganized,Separate the observing platform from the target; retain aircraft/vessel role.
location.vesselType,#/$defs/LocationData/properties/vesselType,platform.fields.type,reorganized,Separate the observing platform from the target; retain aircraft/vessel role.
location.aircraftType,#/$defs/LocationData/properties/aircraftType,platform.fields.type,reorganized,Separate the observing platform from the target; retain aircraft/vessel role.
location.aircraftCallsign,#/$defs/LocationData/properties/aircraftCallsign,platform.fields.callsign,reorganized,Separate the observing platform from the target; retain aircraft/vessel role.
location.flightNumber,#/$defs/LocationData/properties/flightNumber,platform.fields.flightNumber,reorganized,Separate the observing platform from the target; retain aircraft/vessel role.
location.observerAltitudeMeters,#/$defs/LocationData/properties/observerAltitudeMeters,platform.measurements[altitude],reorganized,Separate the observing platform from the target; retain aircraft/vessel role. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
createdAt,#/$defs/Observation/properties/createdAt,Observation.createdAt,existing,Published Observation contract unchanged; context has its own identity/version. Extensions do not establish typed domain coverage.
updatedAt,#/$defs/Observation/properties/updatedAt,Observation.updatedAt,existing,Published Observation contract unchanged; context has its own identity/version. Extensions do not establish typed domain coverage.
summary,#/$defs/Observation/properties/summary,Observation.summary,existing,Published Observation contract unchanged; context has its own identity/version. Extensions do not establish typed domain coverage.
objectCharacteristics,#/$defs/ObjectCharacteristics,reported_object.fields,reorganized,Container row; child rows specify ownership.
objectCharacteristics.shape,#/$defs/ObjectCharacteristics/properties/shape,reported_object.fields.shape,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
objectCharacteristics.size,#/$defs/ObjectCharacteristics/properties/size,reported_object.fields.sizeDescription,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
objectCharacteristics.sizeMeters,#/$defs/ObjectCharacteristics/properties/sizeMeters,reported_object.measurements[size],reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
objectCharacteristics.color,#/$defs/ObjectCharacteristics/properties/color,reported_object.fields.color,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
objectCharacteristics.secondaryColors,#/$defs/ObjectCharacteristics/properties/secondaryColors,reported_object.fields.secondaryColors,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
objectCharacteristics.luminosity,#/$defs/ObjectCharacteristics/properties/luminosity,reported_object.fields.luminosity,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
objectCharacteristics.sound,#/$defs/ObjectCharacteristics/properties/sound,reported_object.fields.sound,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
objectCharacteristics.soundDescription,#/$defs/ObjectCharacteristics/properties/soundDescription,reported_object.fields.soundDescription,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
objectCharacteristics.surfaceDetails,#/$defs/ObjectCharacteristics/properties/surfaceDetails,reported_object.fields.surfaceDetails,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
objectCharacteristics.numberObserved,#/$defs/ObjectCharacteristics/properties/numberObserved,reported_object.measurements[count],reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion. Numeric values stay in Observation measurements with explicit units/uncertainty and role checks; source wording remains when a measurement cannot be justified.
objectCharacteristics.formation,#/$defs/ObjectCharacteristics/properties/formation,reported_object.fields.formation,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
objectCharacteristics.structuralFeatures,#/$defs/ObjectCharacteristics/properties/structuralFeatures,reported_object.fields.structuralFeatures,reorganized,Sourced assertions preserve uncertainty and competing accounts; not an automatic conversion.
eventType,#/$defs/Observation/properties/eventType,event.fields.eventType,reorganized,Retains the original local free-text event descriptor in a dedicated sourced field; distinct from origin hypotheses.
movement,#/$defs/Movement,reported_object.fields,reorganized,Container row; child rows specify ownership.
