baseline_path,schema_pointer,disposition,destination,meaning,owner
investigation,#/$defs/Investigation,revised,investigation entity,One independently identified investigation with explicit observation scope.,C3a connected cases
investigation.investigatingBody,#/$defs/Investigation/properties/investigatingBody,revised,investigation.fields.investigatingBody,"Retain the source-reported primary body, not the case assembler.",C3a connected cases
investigation.investigatingBodies,#/$defs/Investigation/properties/investigatingBodies,revised,investigation.fields.investigatingBodies,Retain the reported list; distinct investigations may coexist.,C3a connected cases
investigation.caseNumber,#/$defs/Investigation/properties/caseNumber,revised,investigation.fields.caseNumber,A sourced file number is not global case identity.,C3a connected cases
investigation.investigationDate,#/$defs/Investigation/properties/investigationDate,revised,investigation.fields.investigationTime,"Preserve calendar precision; invalid wording stays unmapped, never an invented instant.",C3a connected cases
investigation.conclusion,#/$defs/Investigation/properties/conclusion,revised,investigation.fields.reportedConclusion,Retain competing source conclusions; assessment and presentation selection follow downstream.,C3a connected cases
investigation.confidence,#/$defs/Investigation/properties/confidence,revised,investigation.fields.reportedConfidence,"Reuse the shared qualitative scale as a sourced rating, not a computed score.",C3a connected cases
investigation.methodologies,#/$defs/Investigation/properties/methodologies,revised,investigation.fields.reportedMethods / methodReferences,Retain source wording; supplied method links resolve within pinned observations.,C3a connected cases
investigation.findings,#/$defs/Investigation/properties/findings,revised,investigation.fields.reportedFindings,Retain report wording with provenance; it is not an independent review.,C3a connected cases
investigation.recommendations,#/$defs/Investigation/properties/recommendations,revised,investigation.fields.reportedRecommendations,Retain the source recommendation and its author.,C3a connected cases
responseImpact,#/$defs/ResponseImpact,revised,response_event entity,A separately identified response with explicit observation scope and supplied time.,C3a connected cases
responseImpact.officialResponse,#/$defs/ResponseImpact/properties/officialResponse,revised,response_event.fields.officialResponse,Retain separate attributed declarations. Known false needs a source; omission and unknown are not false.,C3a connected cases
responseImpact.mediaAttention,#/$defs/ResponseImpact/properties/mediaAttention,revised,response_event.fields.mediaAttention,Retain separate attributed declarations. Known false needs a source; omission and unknown are not false.,C3a connected cases
responseImpact.publicImpact,#/$defs/ResponseImpact/properties/publicImpact,revised,response_event.fields.publicImpact,Retain separate attributed declarations. Known false needs a source; omission and unknown are not false.,C3a connected cases
responseImpact.policyImpact,#/$defs/ResponseImpact/properties/policyImpact,revised,response_event.fields.policyImpact,Retain separate attributed declarations. Known false needs a source; omission and unknown are not false.,C3a connected cases
responseImpact.militaryResponse,#/$defs/ResponseImpact/properties/militaryResponse,revised,response_event.fields.militaryResponse,Retain separate attributed declarations. Known false needs a source; omission and unknown are not false.,C3a connected cases
responseImpact.coverUpAlleged,#/$defs/ResponseImpact/properties/coverUpAlleged,revised,response_event.fields.reportedConcealmentAllegation,Replace the bare boolean with attributed allegation wording; do not establish concealment or infer a negative.,C3a connected cases
relations,#/$defs/Relations,revised,relationship / event_group / membership,"Separate directed chronology, grouping and downstream relationship assessments.",C3a connected cases
relations.edges,#/$defs/Relations/properties/edges,deferred,relationship / downstream relationship claims,Structural related_to/precedes/follows links are supported; scientific and revision relationships require subsequent explicit claims.,C3 later relationship assessments
relations.edges[].kind,#/$defs/RelationEdge/properties/kind,deferred,relationship.relation / downstream relationship claim topic,"Do not silently map corroborates, contradicts, duplicate_of, same_object, supersedes, superseded_by or re_analysis_of to chronology. part_of becomes explicit membership in a declared group.",C3 later relationship assessments
relations.edges[].targetId,#/$defs/RelationEdge/properties/targetId,deferred,relationship.toObservationId / membership.groupId / later claim target,Snapshot scope is explicit. A target ID is not cross-document identity.,C3 later relationship assessments
relations.edges[].note,#/$defs/RelationEdge/properties/note,deferred,relationship.basis.text / membership.basis.text / later claim rationale,The basis has a scoped citation and attribution.,C3 later relationship assessments
relations.flap,#/$defs/Relations/properties/flap,revised,event_group.fields.groupType=flap + label; membership,Named membership is explicit; no implied corroboration.,C3a connected cases
relations.wave,#/$defs/Relations/properties/wave,revised,event_group.fields.groupType=wave + label; membership,Named membership is explicit; no implied corroboration.,C3a connected cases
relations.cluster,#/$defs/Relations/properties/cluster,revised,event_group.fields.groupType=cluster + label; membership,Named membership is explicit; no implied corroboration.,C3a connected cases
relations.relatedObservationIds,#/$defs/Relations/properties/relatedObservationIds,revised,relationship.relation=related_to,Preserve direction and sourced basis; no automatic inverse or identity inference.,C3a connected cases
relations.precedingEvents,#/$defs/Relations/properties/precedingEvents,revised,relationship.relation=follows,The current observation follows the named preceding event; no revision relation is inferred.,C3a connected cases
relations.followingEvents,#/$defs/Relations/properties/followingEvents,revised,relationship.relation=precedes,The current observation precedes the named following event; no revision relation is inferred.,C3a connected cases
